timestamps,TP9,AF7,AF8,TP10,Right AUX
1659298147.204,148.438,66.895,112.793,210.938,0.000
1659298147.208,133.789,70.312,108.887,197.754,0.000
1659298147.212,140.625,62.988,111.816,203.125,0.000
1659298147.216,163.086,58.594,109.375,213.379,0.000
1659298147.219,166.504,65.918,114.258,215.332,0.000
1659298147.223,148.438,66.406,115.234,200.684,0.000
1659298147.227,139.160,63.477,109.863,204.590,0.000
1659298147.231,145.020,67.871,107.422,208.984,0.000
1659298147.235,160.645,60.547,110.840,205.078,0.000
1659298147.239,152.344,55.664,112.305,202.637,0.000
1659298147.243,145.020,65.430,113.770,190.430,0.000
1659298147.247,151.367,67.871,119.141,185.547,0.000
1659298147.251,156.738,62.500,115.723,196.777,0.000
1659298147.255,152.344,61.523,121.582,203.613,0.000
1659298147.259,149.414,67.383,125.000,201.172,0.000
1659298147.262,160.645,71.289,124.512,199.707,0.000
1659298147.266,172.363,69.824,122.559,203.613,0.000
1659298147.270,170.898,67.871,114.258,209.961,0.000
1659298147.274,154.297,69.336,117.676,203.125,0.000
1659298147.278,134.766,58.594,114.258,181.152,0.000
1659298147.282,140.625,50.781,114.258,184.082,0.000
1659298147.286,154.297,51.270,127.441,199.219,0.000
1659298147.290,141.113,54.199,128.418,187.500,0.000
1659298147.294,133.301,58.594,120.117,178.711,0.000
1659298147.298,145.996,56.641,120.605,177.734,0.000
1659298147.302,156.250,52.246,117.188,190.430,0.000
1659298147.305,146.973,51.758,112.305,193.359,0.000
1659298147.309,140.137,54.688,111.816,179.199,0.000
1659298147.313,141.113,55.664,106.934,166.504,0.000
1659298147.317,153.809,64.941,114.746,187.988,0.000
1659298147.321,154.297,63.965,117.188,196.289,0.000
1659298147.325,143.066,47.852,102.539,161.133,0.000
1659298147.329,151.855,43.945,106.445,155.762,0.000
1659298147.333,155.762,43.945,116.699,170.410,0.000
1659298147.337,146.484,42.969,111.328,168.457,0.000
1659298147.341,136.230,45.410,108.398,160.645,0.000
1659298147.344,129.395,52.734,107.422,164.551,0.000
1659298147.348,127.930,54.199,104.492,165.039,0.000
1659298147.352,129.395,41.504,104.004,163.086,0.000
1659298147.356,125.000,35.156,103.516,151.855,0.000
1659298147.360,125.000,35.645,103.027,145.020,0.000
1659298147.364,127.930,39.551,103.516,160.156,0.000
1659298147.368,125.488,34.180,95.703,164.551,0.000
1659298147.372,112.305,16.602,88.867,151.367,0.000
1659298147.376,105.957,20.508,95.215,149.414,0.000
1659298147.380,116.211,32.227,100.586,155.273,0.000
1659298147.384,123.535,39.551,92.285,163.086,0.000
1659298147.387,120.117,45.410,89.844,151.855,0.000
1659298147.391,118.652,46.387,95.703,137.695,0.000
1659298147.395,119.141,47.363,99.121,145.020,0.000
1659298147.399,132.812,43.945,103.027,161.133,0.000
1659298147.403,136.719,37.109,104.492,162.109,0.000
1659298147.407,120.117,36.621,97.656,147.461,0.000
1659298147.411,117.188,37.598,92.285,149.902,0.000
1659298147.415,127.930,33.203,90.820,147.461,0.000
1659298147.419,138.184,23.438,92.773,158.203,0.000
1659298147.423,125.488,20.508,92.285,154.297,0.000
1659298147.427,115.234,41.016,89.355,149.902,0.000
1659298147.430,117.676,46.387,95.215,158.691,0.000
1659298147.434,123.535,37.109,96.680,156.738,0.000
1659298147.438,120.605,34.180,88.379,152.832,0.000
1659298147.442,113.770,31.738,82.520,137.695,0.000
1659298147.446,111.816,33.203,87.402,145.020,0.000
1659298147.450,122.559,31.738,88.867,169.434,0.000
1659298147.454,118.652,19.531,84.961,159.668,0.000
1659298147.458,104.004,12.695,77.637,129.395,0.000
1659298147.462,105.957,18.555,73.730,124.512,0.000
1659298147.465,113.281,25.391,73.730,139.648,0.000
1659298147.469,116.211,24.414,77.148,145.508,0.000
1659298147.473,103.027,15.137,76.660,120.605,0.000
1659298147.477,100.586,20.996,79.102,110.352,0.000
1659298147.481,107.910,22.461,78.613,123.535,0.000
1659298147.485,119.629,12.695,73.242,142.090,0.000
1659298147.489,124.023,24.414,79.590,142.578,0.000
1659298147.493,117.188,30.762,78.125,135.254,0.000
1659298147.497,118.652,30.762,79.590,158.203,0.000
1659298147.501,125.977,28.320,83.008,176.270,0.000
1659298147.505,116.211,26.367,78.613,146.484,0.000
1659298147.508,115.723,34.180,80.078,128.906,0.000
1659298147.512,121.582,39.062,80.078,136.230,0.000
1659298147.516,120.117,34.668,77.637,147.949,0.000
1659298147.520,121.582,16.113,72.266,147.461,0.000
1659298147.524,113.770,6.836,68.359,128.906,0.000
1659298147.528,118.164,24.902,75.684,136.230,0.000
1659298147.532,138.672,31.250,90.332,169.434,0.000
1659298147.536,130.371,15.137,91.309,173.828,0.000
1659298147.540,100.586,12.207,84.961,140.137,0.000
1659298147.544,101.562,12.207,82.031,136.230,0.000
1659298147.548,112.305,5.859,72.754,142.578,0.000
